,Player,Tm,Pos,Age,MP,Team Performance,Team Performance (20),Season,Composite,ORtg,DRtg
1134,Martell Webster,POR,SF,20,1759,Average,bottom,2006-2007,0.1423884514435696,102.0,112.0
1135,Jamaal Magloire,POR,C,28,1703,Average,bottom,2006-2007,0.15682414698162728,96.0,108.0
1136,Jarrett Jack,POR,SG,24,2229,Average,Average,2007-2008,0.20011500862564688,105.0,110.0
1137,Travis Outlaw,POR,PF,23,2186,Average,Average,2007-2008,0.20471535365152382,102.0,107.0
1138,Travis Outlaw,POR,SF,24,2246,Average,top,2008-2009,0.1794736842105262,111.0,109.0
1139,Rudy Fernández,POR,SG,23,1993,Average,top,2008-2009,0.1884210526315788,120.0,109.0
1140,Juwan Howard,POR,C,36,1632,Average,Average,2009-2010,0.1276013143483023,107.0,108.0
1141,Rudy Fernández,POR,SG,24,1441,Average,Average,2009-2010,0.1703176341730559,108.0,107.0
1142,Rudy Fernández,POR,SG,25,1821,Average,Average,2010-2011,0.1683333333333333,108.0,108.0
1143,Brandon Roy,POR,SG,26,1310,Average,Average,2010-2011,0.1783333333333332,105.0,110.0
1144,Nicolas Batum,POR,SF,23,1791,Average,Average,2011-2012,0.21979286536248555,112.0,107.0
1145,Jamal Crawford,POR,PG,31,1613,Average,Average,2011-2012,0.20483314154200233,102.0,109.0
1146,Meyers Leonard,POR,C,20,1206,Average,Average,2012-2013,0.14653692043503158,115.0,110.0
1147,Will Barton,POR,SG,22,894,Average,Average,2012-2013,0.13050944476245,87.0,109.0
1148,Mo Williams,POR,PG,31,1834,Average,Average,2013-2014,0.13947503860010294,102.0,110.0
1149,Dorell Wright,POR,SF,28,984,Average,Average,2013-2014,0.16417910447761194,108.0,107.0
1150,Steve Blake,POR,PG,34,1529,Average,Average,2014-2015,0.13002610966057435,103.0,107.0
1151,Chris Kaman,POR,C,32,1398,Average,Average,2014-2015,0.2349869451697128,103.0,101.0
1152,Allen Crabbe,POR,SG,23,2105,Average,Average,2015-2016,0.15134529147982062,114.0,110.0
1153,Ed Davis,POR,PF,26,1684,Average,Average,2015-2016,0.234304932735426,128.0,104.0
1154,Allen Crabbe,POR,SG,24,2254,Average,Average,2016-2017,0.14794816414686823,117.0,114.0
1155,Al-Farouq Aminu,POR,PF,26,1773,Average,Average,2016-2017,0.18358531317494606,100.0,108.0
1156,Evan Turner,POR,SF,29,2034,Average,Average,2017-2018,0.13426423200859294,103.0,109.0
1157,Shabazz Napier,POR,PG,26,1535,Average,Average,2017-2018,0.18743286788399574,107.0,106.0
1158,Evan Turner,POR,PG,30,1605,Average,top,2018-2019,0.187866927592955,105.0,111.0
1159,Seth Curry,POR,SG,28,1399,Average,top,2018-2019,0.12573385518590996,113.0,114.0
1160,Anfernee Simons,POR,SG,20,1449,Average,Average,2019-2020,0.10764430577223084,102.0,119.0
1161,Gary Trent Jr.,POR,SF,21,1332,Average,Average,2019-2020,0.14196567862714507,121.0,117.0
1162,Enes Freedom,POR,C,28,1758,Average,Average,2020-2021,0.2908040442946557,133.0,113.0
1163,Carmelo Anthony,POR,PF,36,1690,Average,Average,2020-2021,0.17236398651901785,112.0,117.0
1164,Anfernee Simons,POR,SG,22,1681,Average,Average,2021-2022,0.22796181920269518,112.0,121.0
1165,Ben McLemore,POR,SG,28,1285,Average,Average,2021-2022,0.15216170690623243,108.0,120.0
1166,Shaedon Sharpe,POR,SG,19,1779,Average,bottom,2022-2023,0.1510574018126889,109.0,121.0
1167,Drew Eubanks,POR,C,25,1584,Average,bottom,2022-2023,0.20644511581067473,130.0,115.0
1168,Peja Stojaković,SAC,SF,22,1749,Average,Average,1999-2000,0.21469575200918498,111.0,105.0
1169,Scot Pollard,SAC,C,24,1336,Average,Average,1999-2000,0.17336394948335251,122.0,99.0
1170,Scot Pollard,SAC,C,25,1658,top,top,2000-2001,0.16684782608695645,111.0,97.0
1171,Bobby Jackson,SAC,PG,27,1648,top,top,2000-2001,0.15706521739130436,99.0,100.0
1172,Hedo Türkoğlu,SAC,SF,22,1970,top,top,2001-2002,0.17032126466088723,107.0,102.0
1173,Scot Pollard,SAC,C,26,1881,top,top,2001-2002,0.1805201427842937,120.0,98.0
1174,Keon Clark,SAC,C,27,1780,top,top,2002-2003,0.15664556962025314,103.0,97.0
1175,Bobby Jackson,SAC,PG,29,1676,top,top,2002-2003,0.2194092827004218,109.0,101.0
1176,Anthony Peeler,SAC,SG,34,1391,Average,top,2003-2004,0.13693153423288354,106.0,106.0
1177,Bobby Jackson,SAC,SG,30,1185,Average,top,2003-2004,0.20439780109945022,107.0,106.0
1178,Darius Songaila,SAC,PF,26,1668,Average,Average,2004-2005,0.17434554973821992,116.0,108.0
1179,Maurice Evans,SAC,SG,26,1233,Average,Average,2004-2005,0.1277486910994764,110.0,110.0
1180,Shareef Abdur-Rahim,SAC,PF,29,1961,Average,Average,2005-2006,0.2161089052750993,115.0,105.0
1181,Francisco García,SAC,SF,24,1301,Average,Average,2005-2006,0.12422007941009647,98.0,104.0
1182,John Salmons,SAC,SG,27,2135,Average,Average,2006-2007,0.1810975609756098,108.0,109.0
1183,Francisco García,SAC,SF,25,1410,Average,Average,2006-2007,0.13658536585365855,106.0,108.0
1184,Francisco García,SAC,SF,26,2096,Average,Average,2007-2008,0.18708906156604904,108.0,109.0
1185,Spencer Hawes,SAC,C,19,931,Average,Average,2007-2008,0.15242080095636587,97.0,109.0
1186,Francisco García,SAC,SF,27,1975,bottom,bottom,2008-2009,0.18758002560819456,107.0,114.0
1187,Bobby Jackson,SAC,PG,35,1484,bottom,bottom,2008-2009,0.19526248399487833,104.0,115.0
1188,Omri Casspi,SAC,SF,21,1931,bottom,bottom,2009-2010,0.1970260223048327,104.0,110.0
1189,Andrés Nocioni,SAC,SF,30,1477,bottom,bottom,2009-2010,0.15365551425030985,101.0,111.0
