Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
220,Voshon Lenard,SG,27,DEN,80,58,2331,7.5,18.8,.397,3.3,8.5,.385,4.2,10.3,.407,3.4,4.3,.797,1.0,4.1,5.1,4.2,1.4,0.4,2.3,3.8,21.6,,105,109,lenarvo01
221,Quincy Lewis,SF,23,UTA,35,2,402,6.7,16.4,.407,1.2,3.3,.360,5.5,13.0,.418,2.0,2.8,.714,1.9,4.4,6.3,2.4,1.3,1.3,2.3,10.4,16.5,,95,105,lewisqu01
222,Rashard Lewis,PF,21,SEA,78,78,2720,8.2,17.1,.480,2.4,5.5,.432,5.8,11.6,.503,3.4,4.1,.826,2.8,7.7,10.4,2.4,1.8,0.9,2.5,3.7,22.2,,114,105,lewisra02
223,Randy Livingston,PG,25,GSW,2,0,7,0.0,14.6,.000,0.0,7.3,.000,0.0,7.3,.000,0.0,0.0,,0.0,7.3,7.3,7.3,0.0,0.0,0.0,0.0,0.0,,28,112,livinra01
224,Art Long,PF,28,SAC,9,0,20,0.0,10.2,.000,0.0,0.0,,0.0,10.2,.000,0.0,5.1,.000,5.1,15.3,20.3,2.5,0.0,7.6,5.1,12.7,0.0,,27,91,longar01
225,Grant Long,PF,34,VAN,66,27,1507,4.9,11.1,.439,0.1,0.5,.267,4.7,10.6,.447,3.9,5.5,.713,2.6,6.9,9.5,2.9,2.5,0.5,2.2,5.6,13.8,,103,104,longgr01
226,Luc Longley,C,32,NYK,25,2,301,3.3,9.9,.333,0.0,0.0,,3.3,9.9,.333,2.4,3.1,.765,4.8,7.4,12.1,1.3,0.6,1.7,4.0,9.4,9.0,,78,99,longllu01
227,Felipe López,SG-PG,26,TOT,70,48,1565,7.0,15.9,.441,0.6,1.7,.365,6.4,14.1,.451,3.6,5.2,.699,1.8,5.9,7.8,3.6,2.1,1.0,2.8,5.2,18.2,,100,106,lopezfe01
227,Felipe López,SG,26,WAS,47,38,1108,6.6,15.2,.436,0.3,1.4,.207,6.4,13.9,.458,4.2,5.7,.732,1.4,6.1,7.5,3.4,1.9,0.8,2.6,5.1,17.8,,100,108,lopezfe01
227,Felipe López,PG,26,MIN,23,10,457,7.9,17.4,.454,1.5,2.6,.565,6.4,14.8,.434,2.2,3.8,.576,2.9,5.6,8.5,3.9,2.4,1.4,3.1,5.3,19.4,,100,103,lopezfe01
228,Tyronn Lue,PG,23,LAL,38,1,468,5.6,13.1,.427,1.2,3.8,.324,4.4,9.3,.470,2.1,2.7,.792,0.6,3.0,3.6,5.0,2.1,0.0,3.0,6.0,14.5,,99,108,luety01
229,George Lynch,SF,30,PHI,82,80,2649,5.5,12.3,.445,0.3,1.1,.263,5.2,11.2,.463,2.5,3.4,.719,4.0,7.8,11.8,2.8,2.0,0.6,2.2,4.4,13.7,,105,99,lynchge01
230,Todd MacCulloch,C,25,PHI,63,3,597,9.7,16.4,.589,0.0,0.0,,9.7,16.4,.589,3.7,5.9,.636,6.1,8.8,14.9,0.9,0.6,1.7,2.4,8.5,23.1,,119,100,maccuto01
