Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg,Player-additional
104,Yakhouba Diawara,SG,24,DEN,64,19,1177,4.2,12.2,.342,2.1,7.1,.288,2.1,5.1,.418,1.5,2.2,.660,1.1,3.5,4.6,2.3,1.3,0.3,1.5,5.5,11.9,,95,110,diawaya01
105,Dan Dickau,PG,28,POR,50,3,444,6.6,18.5,.358,2.0,7.5,.262,4.7,11.0,.422,5.1,6.5,.792,0.9,4.4,5.3,8.6,1.7,0.1,3.3,6.7,20.3,,103,112,dickada01
106,Travis Diener,PG,24,ORL,26,0,288,6.3,14.8,.425,3.3,9.3,.360,3.0,5.6,.533,2.2,2.8,.800,0.6,2.8,3.3,6.5,0.7,0.0,2.4,5.0,18.2,,115,110,dienetr01
107,Ike Diogu,PF,23,TOT,59,2,760,8.5,17.8,.477,0.0,0.0,,8.5,17.8,.477,7.5,9.4,.800,5.0,8.6,13.6,1.7,0.5,1.7,4.5,8.2,24.5,,105,106,dioguik01
107,Ike Diogu,PF,23,GSW,17,0,222,9.6,18.1,.530,0.0,0.0,,9.6,18.1,.530,7.6,9.6,.795,4.6,9.2,13.7,1.1,0.7,2.4,3.9,7.6,26.8,,111,106,dioguik01
107,Ike Diogu,PF,23,IND,42,2,538,8.0,17.7,.454,0.0,0.0,,8.0,17.7,.454,7.4,9.3,.802,5.2,8.3,13.5,1.9,0.5,1.4,4.7,8.4,23.5,,102,106,dioguik01
108,DeSagana Diop,C,25,DAL,81,9,1480,2.6,5.5,.470,0.0,0.0,.000,2.6,5.4,.473,1.7,3.1,.558,6.0,9.9,15.9,1.1,1.4,4.1,2.3,8.8,6.9,,107,98,diopde01
109,Juan Dixon,SG,28,TOT,81,6,1926,8.3,19.5,.425,2.2,6.3,.350,6.1,13.2,.461,2.8,3.2,.871,0.7,3.6,4.4,3.4,2.1,0.2,2.8,4.9,21.6,,100,110,dixonju01
109,Juan Dixon,SG,28,POR,55,1,1243,8.3,19.4,.426,2.3,6.3,.364,6.0,13.2,.455,2.6,3.1,.833,0.7,3.0,3.7,3.6,2.1,0.3,3.4,4.9,21.4,,99,112,dixonju01
109,Juan Dixon,SG,28,TOR,26,5,683,8.4,19.7,.425,2.0,6.3,.325,6.3,13.4,.472,3.1,3.3,.932,0.8,4.7,5.5,3.1,2.0,0.2,1.8,4.9,21.9,,103,107,dixonju01
110,Michael Doleac,C,29,MIA,56,0,698,6.3,13.4,.469,0.0,0.1,.000,6.3,13.3,.471,2.8,3.1,.878,3.4,8.5,11.9,1.7,1.4,1.1,2.3,7.3,15.3,,103,104,doleami01
111,Keyon Dooling,SG,26,ORL,66,2,1435,7.0,17.0,.410,1.2,3.6,.323,5.8,13.5,.434,4.2,5.2,.809,0.8,2.4,3.2,4.2,1.9,0.6,2.7,4.7,19.4,,102,107,doolike01
112,Quincy Douby,PG,22,SAC,42,0,359,6.8,17.8,.381,1.7,7.1,.240,5.1,10.7,.474,1.6,2.1,.733,1.6,3.7,5.2,2.1,2.1,0.6,2.1,3.0,16.8,,90,109,doubyqu01
113,Chris Duhon,PG,24,CHI,78,30,1906,5.3,13.0,.408,2.4,6.6,.359,2.9,6.4,.458,2.0,2.7,.752,0.6,3.9,4.5,8.3,1.9,0.2,2.8,4.0,15.0,,108,102,duhonch01
114,Tim Duncan*,C,30,SAS,80,80,2726,12.1,22.2,.546,0.0,0.2,.111,12.1,22.0,.550,7.1,11.1,.637,4.2,12.4,16.6,5.4,1.3,3.7,4.4,4.0,31.4,,111,94,duncati01
115,Mike Dunleavy,SG-PF,26,TOT,82,49,2580,7.5,16.6,.452,1.4,4.4,.313,6.1,12.2,.502,4.1,5.3,.784,1.6,6.8,8.4,4.5,1.6,0.4,2.9,4.0,20.5,,107,107,dunlemi02
115,Mike Dunleavy,PF,26,GSW,39,6,1051,7.6,17.0,.449,1.7,4.8,.346,6.0,12.3,.489,3.6,4.7,.772,1.8,6.8,8.6,5.4,1.8,0.6,3.3,3.8,20.5,,106,108,dunlemi02
115,Mike Dunleavy,SG,26,IND,43,43,1529,7.4,16.3,.454,1.2,4.1,.283,6.2,12.2,.511,4.5,5.7,.792,1.5,6.8,8.3,3.8,1.6,0.3,2.6,4.1,20.5,,108,106,dunlemi02
